hcc_id,community_size,hashtag,frequency,n_videos,n_users_exposed,hashtag_uses_per_account,rank_within_hcc
1,3,retinolskincare,2,2,3,0.667,1
1,3,glowup,2,2,3,0.667,2
1,3,maryamebeautee,2,2,3,0.667,3
1,3,reviewretinol,1,1,3,0.333,4
1,3,retinolserum,1,1,3,0.333,5
1,3,racuntiktokshop,1,1,3,0.333,6
1,3,marvelxazarine,1,1,3,0.333,7
1,3,retinolcomplex,1,1,3,0.333,8
1,3,azarinecosmetic,1,1,3,0.333,9
1,3,racunnabella,1,1,3,0.333,10
2,6,maryame,3,3,6,0.5,1
2,6,dokterdetektif,1,1,6,0.167,2
2,6,tips,1,1,6,0.167,3
2,6,tipsandtricks,1,1,6,0.167,4
2,6,mputrizahro,1,1,6,0.167,5
2,6,daycream,1,1,6,0.167,6
3,5,skincareampuh,1,1,5,0.2,1
3,5,encapsulatedretinol,1,1,5,0.2,2
3,5,mencerahkankulit,1,1,5,0.2,3
3,5,retinol,1,1,5,0.2,4
3,5,mengurangitandapenuaan,1,1,5,0.2,5
3,5,tips,1,1,5,0.2,6
3,5,tipsandtricks,1,1,5,0.2,7
3,5,maryame,1,1,5,0.2,8
3,5,mputrizahro,1,1,5,0.2,9
3,5,berawaldaritiktokshop,1,1,5,0.2,10
5,8,theoriginote,6,6,8,0.75,1
5,8,brightserum,1,1,8,0.125,2
5,8,brighteningserum,1,1,8,0.125,3
5,8,niacinamideserum,1,1,8,0.125,4
5,8,capcut,1,1,8,0.125,5
5,8,beautyhaulaja,1,1,8,0.125,6
5,8,skintention,1,1,8,0.125,7
5,8,skincareproducts,1,1,8,0.125,8
5,8,reviewserumtheoriginote,1,1,8,0.125,9
5,8,rekomendasiserum,1,1,8,0.125,10
14,3,retinol,1,1,3,0.333,1
14,3,sleepingmaskretinoldaviena,1,1,3,0.333,2
14,3,skincaretips,1,1,3,0.333,3
14,3,sleepingmaskretinolbooster,1,1,3,0.333,4
14,3,permintaanmaaf,1,1,3,0.333,5
14,3,klarifikasi,1,1,3,0.333,6
14,3,davienaskincare,1,1,3,0.333,7
14,3,bismillahfyp,1,1,3,0.333,8
14,3,ownerdavienaskincare,1,1,3,0.333,9
14,3,jerawatan,1,1,3,0.333,10
15,6,racunjuju,1,1,6,0.167,1
15,6,hyalucserum,1,1,6,0.167,2
15,6,brightb3serum,1,1,6,0.167,3
15,6,theoriginote,1,1,6,0.167,4
16,5,retinol,1,1,5,0.2,1
16,5,retinoldaviena,1,1,5,0.2,2
16,5,carapakeretinol,1,1,5,0.2,3
16,5,davienaskincare,1,1,5,0.2,4
16,5,racunjuju,1,1,5,0.2,5
16,5,viralditiktok,1,1,5,0.2,6
16,5,theoriginotemoisturizer,1,1,5,0.2,7
16,5,theoriginoteserum,1,1,5,0.2,8
