Id,Label,Source,Target,Type,Weight,edge_weight_raw,edge_visual_weight,edge_confidence_rank,edge_visual_opacity,edge_type,original_edge_type,is_ambiguous_assignment,is_ambiguous_association,raw_account_count,fractional_account_count,shared_video_count,shared_video_context_count,verified_direct_interaction_count,temporal_mass_comment_count,temporal_pair_count,hcc_account_count,hcc_comment_count
E000018,Verified: HCC_103 -> MASS_HCC_103_Verified_Community_Mass_Direct_Interaction_Neutral,HCC_103,MASS_HCC_103_Verified_Community_Mass_Direct_Interaction_Neutral,Directed,0.6931471805599453,1.0,0.6931471805599453,3,1.0,Verified,Verified Community-Mass Direct Interaction,False,False,1,1.0,2,2.0,2,0,0,0.0,0.0
E000019,Verified: HCC_103 -> MASS_HCC_103_Verified_Community_Mass_Direct_Interaction_Positive,HCC_103,MASS_HCC_103_Verified_Community_Mass_Direct_Interaction_Positive,Directed,1.0986122886681098,2.0,1.0986122886681098,3,1.0,Verified,Verified Community-Mass Direct Interaction,False,False,2,2.0,4,4.0,4,0,0,0.0,0.0
E000020,Ambiguous: HCC_113 -> MASS_HCC_113_Ambiguous_Community_Mass_Association_Mixed,HCC_113,MASS_HCC_113_Ambiguous_Community_Mass_Association_Mixed,Directed,2.4382453877467087,10.452927655419916,2.4382453877467087,1,0.2,Ambiguous,Ambiguous Community-Mass Association,True,True,75,10.452927655419916,76,76.0,0,0,0,0.0,0.0
E000021,Ambiguous: HCC_113 -> MASS_HCC_113_Ambiguous_Community_Mass_Association_Negative,HCC_113,MASS_HCC_113_Ambiguous_Community_Mass_Association_Negative,Directed,3.8089488789872927,44.10300522490925,3.8089488789872927,1,0.2,Ambiguous,Ambiguous Community-Mass Association,True,True,203,44.10300522490925,204,204.0,0,0,0,0.0,0.0
E000022,Ambiguous: HCC_113 -> MASS_HCC_113_Ambiguous_Community_Mass_Association_Neutral,HCC_113,MASS_HCC_113_Ambiguous_Community_Mass_Association_Neutral,Directed,4.381727651520235,78.97608492298895,4.381727651520235,1,0.2,Ambiguous,Ambiguous Community-Mass Association,True,True,377,78.97608492298895,380,380.0,0,0,0,0.0,0.0
E000023,Ambiguous: HCC_113 -> MASS_HCC_113_Ambiguous_Community_Mass_Association_Positive,HCC_113,MASS_HCC_113_Ambiguous_Community_Mass_Association_Positive,Directed,3.744483743984043,41.287170576465904,3.744483743984043,1,0.2,Ambiguous,Ambiguous Community-Mass Association,True,True,183,41.287170576465904,183,183.0,0,0,0,0.0,0.0
E000024,Observed: HCC_113 -> MASS_HCC_113_Observed_Community_Mass_Temporal_Association_Neutral,HCC_113,MASS_HCC_113_Observed_Community_Mass_Temporal_Association_Neutral,Directed,1.3862943611198906,3.0,1.3862943611198906,2,0.65,Observed,Observed Community-Mass Temporal Association,False,False,3,3.0,3,3.0,0,4,34,0.0,0.0
E000025,Observed: HCC_113 -> MASS_HCC_113_Observed_Community_Mass_Temporal_Association_Positive,HCC_113,MASS_HCC_113_Observed_Community_Mass_Temporal_Association_Positive,Directed,0.6931471805599453,1.0,0.6931471805599453,2,0.65,Observed,Observed Community-Mass Temporal Association,False,False,1,1.0,1,1.0,0,1,11,0.0,0.0
E000026,Ambiguous: HCC_114 -> MASS_HCC_114_Ambiguous_Community_Mass_Association_Mixed,HCC_114,MASS_HCC_114_Ambiguous_Community_Mass_Association_Mixed,Directed,2.254074507180325,8.526472547060783,2.254074507180325,1,0.2,Ambiguous,Ambiguous Community-Mass Association,True,True,49,8.526472547060783,53,53.0,0,0,0,0.0,0.0
E000027,Ambiguous: HCC_114 -> MASS_HCC_114_Ambiguous_Community_Mass_Association_Negative,HCC_114,MASS_HCC_114_Ambiguous_Community_Mass_Association_Negative,Directed,3.3970871513353686,28.87694615326194,3.3970871513353686,1,0.2,Ambiguous,Ambiguous Community-Mass Association,True,True,119,28.87694615326194,121,121.0,0,0,0,0.0,0.0
E000028,Ambiguous: HCC_114 -> MASS_HCC_114_Ambiguous_Community_Mass_Association_Neutral,HCC_114,MASS_HCC_114_Ambiguous_Community_Mass_Association_Neutral,Directed,4.136706942510709,61.59634829824458,4.136706942510709,1,0.2,Ambiguous,Ambiguous Community-Mass Association,True,True,284,61.59634829824458,299,299.0,0,0,0,0.0,0.0
E000029,Ambiguous: HCC_114 -> MASS_HCC_114_Ambiguous_Community_Mass_Association_Positive,HCC_114,MASS_HCC_114_Ambiguous_Community_Mass_Association_Positive,Directed,3.707934885560222,39.76952579584158,3.707934885560222,1,0.2,Ambiguous,Ambiguous Community-Mass Association,True,True,156,39.76952579584158,156,156.0,0,0,0,0.0,0.0
E000030,Ambiguous: HCC_117 -> MASS_HCC_117_Ambiguous_Community_Mass_Association_Mixed,HCC_117,MASS_HCC_117_Ambiguous_Community_Mass_Association_Mixed,Directed,1.845880914174083,5.333676759257255,1.845880914174083,1,0.2,Ambiguous,Ambiguous Community-Mass Association,True,True,42,5.333676759257255,43,43.0,0,0,0,0.0,0.0
E000031,Ambiguous: HCC_117 -> MASS_HCC_117_Ambiguous_Community_Mass_Association_Negative,HCC_117,MASS_HCC_117_Ambiguous_Community_Mass_Association_Negative,Directed,2.4220252561222986,10.268658139246375,2.4220252561222986,1,0.2,Ambiguous,Ambiguous Community-Mass Association,True,True,56,10.268658139246375,58,58.0,0,0,0,0.0,0.0
E000032,Ambiguous: HCC_117 -> MASS_HCC_117_Ambiguous_Community_Mass_Association_Neutral,HCC_117,MASS_HCC_117_Ambiguous_Community_Mass_Association_Neutral,Directed,3.878055692378803,47.33015497144754,3.878055692378803,1,0.2,Ambiguous,Ambiguous Community-Mass Association,True,True,258,47.33015497144754,262,262.0,0,0,0,0.0,0.0
E000033,Ambiguous: HCC_117 -> MASS_HCC_117_Ambiguous_Community_Mass_Association_Positive,HCC_117,MASS_HCC_117_Ambiguous_Community_Mass_Association_Positive,Directed,2.7866264806295407,15.226188006180266,2.7866264806295407,1,0.2,Ambiguous,Ambiguous Community-Mass Association,True,True,83,15.226188006180266,86,86.0,0,0,0,0.0,0.0
E000034,Observed: HCC_117 -> MASS_HCC_117_Observed_Community_Mass_Temporal_Association_Mixed,HCC_117,MASS_HCC_117_Observed_Community_Mass_Temporal_Association_Mixed,Directed,0.6931471805599453,1.0,0.6931471805599453,2,0.65,Observed,Observed Community-Mass Temporal Association,False,False,1,1.0,1,1.0,0,1,3,0.0,0.0
E000035,Observed: HCC_117 -> MASS_HCC_117_Observed_Community_Mass_Temporal_Association_Neutral,HCC_117,MASS_HCC_117_Observed_Community_Mass_Temporal_Association_Neutral,Directed,1.0986122886681098,2.0,1.0986122886681098,2,0.65,Observed,Observed Community-Mass Temporal Association,False,False,2,2.0,2,2.0,0,2,6,0.0,0.0
E000036,Verified: HCC_117 -> MASS_HCC_117_Verified_Community_Mass_Direct_Interaction_Mixed,HCC_117,MASS_HCC_117_Verified_Community_Mass_Direct_Interaction_Mixed,Directed,0.6931471805599453,1.0,0.6931471805599453,3,1.0,Verified,Verified Community-Mass Direct Interaction,False,False,1,1.0,2,2.0,2,0,0,0.0,0.0
